"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"China","CHN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","13.36","14.11","14.89","16.05","17.39","18.42","18.67","18.57","18.78","19.68","20.79","20.67","22.45","22.52","23.08","22.95","23.21","25.59","27.1","27.16","28.69","31.27","33.44","36.56","37.02","38.94","41.07","42.31","43.97","48.12","49.62","52.32","56.49","59.93","64.95","69.7","72.08","76.41","79.46","83.36","84.77","88.66","90.7","96.48","100.4","103.12","108.15","113.95","116.86","119.96","123.39","127.7","129.79","131.86","135.91","139.03","",
"Cote d'Ivoire","CIV","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","16.89","19.59","19.61","21.19","21.3","22.64","23.87","24.61","26.24","26.79","29.27","28.4","30.42","34.21","38.26","37.57","38.56","41.04","43.68","45.86","47.84","47.15","46.35","53.87","53.38","55.63","57.51","61.71","61.99","65.99","65.91","68.37","68.84","70.34","78.07","81.45","82.47","85.67","86.92","92.69","90.47","93.29","93.96","98.02","97.89","104.09","100.86","107.81","101.84","109.23","114.42","122.07","125.16","130.79","131.65","129.74","",
"Cameroon","CMR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","25.99","27.5","29.65","30.56","28.15","29.71","32.72","34.13","33.67","37","38.6","40.4","41.53","44.75","44.89","43.36","44.52","43.61","44.77","45.55","46.39","48","49.34","48.39","52.5","55.94","50.79","52.47","54.61","57.14","58.34","59.21","62.47","64.46","68.29","71.34","69.25","72.6","76.27","77.78","79.74","81.94","85","88.99","101.91","109.1","116.25","121.63","131.21","142.88","148.37","155.87","159.66","160.74","168.99","181.65","",
"Congo, Dem. Rep.","COD","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","60.45","61.12","61.39","62.26","62.52","63.03","65.19","68.03","69.08","71.48","71.54","72.89","75.28","77.26","79.15","79.99","80.76","78.62","82.65","85.84","86.46","91.32","94.02","96.72","100.26","102.83","105.37","108.53","112.31","117.31","121.46","124.84","125.6","128.81","106.87","106.52","103.96","106.33","103.88","102.03","100.14","98.26","98.97","99.51","100","100.49","101.25","102.01","103.08","104.2","108.77","109.91","108.54","109.16","109.15","108.46","",
"Congo, Rep.","COG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","39.05","40.01","40.77","42.37","43.64","45.13","48.71","48.66","48.06","47.83","48.98","47.2","48.6","46.98","48.39","49.16","49.4","48.97","50.83","52.1","54.32","57.1","56.27","58.64","61.06","60.42","61.94","63.67","62.51","62.7","60.88","62.03","63.3","67.27","72.91","75.61","76.28","76.08","81.35","83.2","84.71","86.34","88.96","93.98","100.42","105.6","110.23","116.53","120.93","122.08","127.1","132.65","132.41","133.56","135.25","138.11","",
"Colombia","COL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","27.53","29.72","29.31","30.86","31.42","31.35","32.02","33.31","33.96","35.54","37.68","38.27","38.59","41.39","45.17","47.96","47.9","50.63","52.54","53.02","54.52","53.78","52.5","54.37","55.01","56.81","58.46","62.34","67.36","70.21","70.98","70.32","72.06","74.3","78.58","79.29","82","81.6","86.11","87.38","88.54","90.43","93.18","97.51","98.79","103.7","106.74","110.25","106.49","103.38","106.33","111.81","116.55","116.98","120.3","116.67","",
"Comoros","COM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","40.91","40.45","45.14","45.83","46.76","47.85","48.37","49.05","51.57","49.93","51.64","51.29","51.28","54.98","55.22","55.08","58.39","58.82","58.73","59.99","56.08","60.58","61.86","58.7","61.26","63.95","69.12","71.59","71.79","77.63","83.57","85.47","88.73","88.9","89.37","91.85","90.71","94.6","96.18","96.6","99.06","99.19","99.15","100.04","96.19","103.77","107.55","107.82","106.73","106.01","105.66","101.5","105.78","105.32","107.96","108.68","",
"Cabo Verde","CPV","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","29.59","32.12","33.69","36.39","40.07","41.58","41.72","31.48","31.83","27.89","24.59","24.31","23.52","22.66","23.23","26.12","26.33","29.14","29.71","39.92","30.15","33.32","28.22","35.32","35.93","40.71","60.09","61.95","63.17","58.5","54.34","65.86","66.48","56.97","70.45","60.1","66.51","74.35","86.12","96.34","95.76","95.14","94.26","97.93","100.39","101.68","111.27","105.53","111","106.25","93.24","96.19","100.6","94.64","93.9","95.56","",
"Costa Rica","CRI","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","14.89","15.79","16.76","17.8","18.42","19.07","19.87","23.69","25.89","28.76","30.69","32.19","33.39","32.43","36.72","37.93","38.51","38.59","39.71","38.66","39.54","37.06","39.35","40.98","42.23","43.59","45.03","46.51","54.09","59.28","62.89","65.87","66.86","70.61","74.76","78.16","79.38","83.38","87.38","87.34","88.38","85.25","89.44","91.63","97.76","110.61","108.04","106.65","109.3","114.27","117.36","122.03","126.3","129.25","126.09","131.03","",
"Caribbean small states","CSS","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","68.8381833042799","68.8511998634891","70.5312533881889","73.61228385816","77.5857597921918","78.303107284818","79.1104490426379","76.8149453443952","76.8759979583088","78.0789024769717","80.3041237522059","78.1677925831252","75.1192035896768","79.1170596841116","77.8860296338563","79.6858593816879","81.5373856140977","85.2646345940681","80.997887693885","81.0704751929194","81.2411830081412","81.1432004377386","77.6604113437344","82.6112758732082","80.6892570497487","83.227818616992","82.1051274693936","83.3942857533638","79.3002852678057","84.4563771917365","86.0669517208071","92.7408104469163","93.8536529730385","94.43252158977","100.201515592439","104.326797223107","101.971556433092","95.7566966781136","101.131436710258","97.6181748585827","99.4343932929518","99.7608026127646","102.205478083125","102.160553575875","96.2126651403602","99.1359554958544","100.295951167734","95.6488491075502","99.8795635031658","101.604533242167","103.490771054561","106.666560395273","109.468203157481","109.107478808223","","","",
